Nom,Alignement / Caractère,Fiche Bestiaire,Fiche Lore,Principe incarné,Régions d’Elseran,Type,Épithète / Titre
Phorvhan,"Mystique, froid, insondable","Phorvhan, Dragon des Abîmes Engloutis (https://www.notion.so/2815bd28250b8070aa9efe7b32575ec7?pvs=21) ","Phorvhan – Dragon des Abîmes Engloutis (Dragons/Phorvhan%20%E2%80%93%20Dragon%20des%20Ab%C3%AEmes%20Engloutis%202815bd28250b80f89ec5f99072cfd1ac.md) ","Ombre, silence, engloutissement",Thal’Myrrûn (https://www.notion.so/2835bd28250b80609ae2c314fabce6cf?pvs=21),Dissident,Dragon des Abîmes Engloutis
Virelya,"Sage, loyale, parfois cruelle dans sa lucidité","Virelya, Gardienne des Éclats (https://www.notion.so/2805bd28250b805eb647f867de664d1a?pvs=21) ","Virelya – Gardienne des Éclats (Dragons/Virelya%20%E2%80%93%20Gardienne%20des%20%C3%89clats%202805bd28250b803991e1e1fc7a30756c.md) ","Vérité, miroirs, pureté",Thal’Myrrûn (https://www.notion.so/2835bd28250b80609ae2c314fabce6cf?pvs=21),Primordial,Gardienne des Éclats
Sylvarïn,"Bienveillant, protecteur, mélancolique","Sylvarïn, Gardien du Lien (https://www.notion.so/2815bd28250b80ae98ffd0a10940dc85?pvs=21) ","Sylvarïn – Gardien du Lien (Dragons/Sylvar%C3%AFn%20%E2%80%93%20Gardien%20du%20Lien%202815bd28250b8048a357c1e53d3b4b71.md) ","Vie, harmonie, souffle naturel",Sylve d’Aerwyn (https://www.notion.so/2835bd28250b80458e8be0f985fe7aba?pvs=21),Primordial,Gardien du Lien
Drav’Thuun,"Colérique, tragique, prisonnier de sa rage","Drav’Thuun, Seigneur des Braises (https://www.notion.so/2815bd28250b8047a87be6a7fd7c88bc?pvs=21) ","Drav’Thuun – Seigneur des Braises (Dragons/Drav%E2%80%99Thuun%20%E2%80%93%20Seigneur%20des%20Braises%202815bd28250b80b9bea4f3e8cbf27bbf.md) ","Feu corrompu, destruction, orgueil",Khor’Thélûn (Monts d’Elseran) (https://www.notion.so/2835bd28250b80288596e00bcb933bc4?pvs=21),Dissident,Seigneur des Braises
Neruzan,"Calme, contemplatif, indifférent aux conflits","Neruzan, Givre du Silence (https://www.notion.so/2805bd28250b80b68eb4d63d73675157?pvs=21) ","Neruzan – Givre du Silence (Dragons/Neruzan%20%E2%80%93%20Givre%20du%20Silence%202805bd28250b8088bd54c6f099574f7b.md) ","Glace, silence, équilibre intérieur",Khor’Thélûn (Monts d’Elseran) (https://www.notion.so/2835bd28250b80288596e00bcb933bc4?pvs=21),Primordial,Givre du Silence
Ashkariel,"Curieux, changeant, poétique","Ashkariel, Reflet des Eaux (https://www.notion.so/2815bd28250b80d7bde7d1ac636ed731?pvs=21) ","Ashkariel – Reflet des Eaux (Dragons/Ashkariel%20%E2%80%93%20Reflet%20des%20Eaux%202815bd28250b8084bb1de2dda54fafcd.md) ","Fluidité, adaptation, cycle naturel",Sylve d’Aerwyn (https://www.notion.so/2835bd28250b80458e8be0f985fe7aba?pvs=21),Primordial,Reflet des Eaux
Zyraneth,"Implacable, fataliste, reflet du Tourmenteur","Zyraneth, Tisseuse des Cendres (https://www.notion.so/2815bd28250b80578dede92834ce5b68?pvs=21) ","Zyraneth – Tisseuse des Cendres (Dragons/Zyraneth%20%E2%80%93%20Tisseuse%20des%20Cendres%202815bd28250b80d6bfcdd094a382b713.md) ","Fatalité, cendres, répétition",Khor’Thélûn (Monts d’Elseran) (https://www.notion.so/2835bd28250b80288596e00bcb933bc4?pvs=21),Dissident,Tisseuse des Cendres
Tharalion,"Gardien créateur, noble et impatient","Tharalion, Dragon Primordial (Ancient Red Dragon légendaire) (https://www.notion.so/2805bd28250b80ddbf20e43de3dbe3ea?pvs=21) ","Tharalion – Flamme Inextinguible (Dragons/Tharalion%20%E2%80%93%20Flamme%20Inextinguible%202805bd28250b806091c0d92814d07248.md) ","Feu originel, création",Khor’Thélûn (Monts d’Elseran) (https://www.notion.so/2835bd28250b80288596e00bcb933bc4?pvs=21),Primordial,Brasier des Origines
Varnexis,"Patiente, inévitable, détachée de toute émotion","Varnexis, Dévoreuse des Sables (https://www.notion.so/2815bd28250b80a28eddd0379ac10c21?pvs=21) ","Varnexis – Dévoreuse des Sables (Dragons/Varnexis%20%E2%80%93%20D%C3%A9voreuse%20des%20Sables%202815bd28250b80bc9c55f20204c47e7e.md) ","Oubli, désert, érosion",Dhar’Zulun (https://www.notion.so/2835bd28250b80558b9ef203540a3fa7?pvs=21),Dissident,Dévoreuse des Sables
Kaeryss,"Manipulatrice, mélancolique, fascinée par la vérité","Kaeryss, Dame des Miroirs (https://www.notion.so/2815bd28250b8073a94ce6aecabdcb4b?pvs=21) ","Kaeryss – Dame des Miroirs (Dragons/Kaeryss%20%E2%80%93%20Dame%20des%20Miroirs%202815bd28250b800986f8ed484ea5a4b2.md) ","Illusion, duplicité, oubli",Thal’Myrrûn (https://www.notion.so/2835bd28250b80609ae2c314fabce6cf?pvs=21),Dissident,Dame des Miroirs
